2,"[1, 1]"
3,"[1, 3, 2]"
4,"[1, 6, 15, 2]"
5,"[1, 10, 52, 55, 2]"
6,"[1, 15, 129, 389, 184, 2]"
7,"[1, 21, 266, 1563, 2539, 648, 2]"
8,"[1, 28, 487, 4642, 16445, 16604, 2111, 2]"
9,"[1, 36, 820, 11407, 69863, 169034, 105365, 6352, 2]"
10,"[1, 45, 1297, 24600, 228613, 1016341, 1686534, 654030, 17337, 2]"
11,"[1, 55, 1954, 48204, 626677, 4398136, 14313789, 16584988, 3900116, 42878, 2]"
12,"[1, 66, 2831, 87758, 1510973, 15240603, 81531167, 198802757, 159650162, 22073230, 102050, 2]"
13,"[1, 78, 3972, 150707, 3304457, 44997104, 354920337, 1489090761, 2717751441, 1499706234, 116855950, 239756, 2]"
14,"[1, 91, 5425, 246787, 6691847, 117687072, 1274360803, 8123911553, 26817217317, 36605339412, 13664302955, 567965207, 562728, 2]"
