"3,2","[1, 3, 2]"
"3,3","[1, 1, 1]"
"4,2","[1, 6, 11, 6]"
"4,3","[1, 4, 7]"
"4,4","[1, 1, 1, 1]"
"5,2","[1, 10, 35, 50, 24]"
"5,3","[1, 10, 37, 11, 1]"
"5,4","[1, 5, 16, 40, 42, 15, 1]"
"5,5","[1, 1, 1, 1, 1]"
"6,2","[1, 15, 85, 225, 274, 120]"
"6,3","[1, 20, 147, 161, 31]"
"6,4","[1, 15, 112, 302, 247, 43]"
"6,5","[1, 6, 22, 56, 106, 125, 44]"
"7,2","[1, 21, 175, 735, 1624, 1764, 720]"
"7,3","[1, 35, 462, 1361, 603, 57, 1]"
"7,4","[1, 35, 520, 1813, 1941, 672, 58]"
"7,5","[1, 21, 190, 757, 1268, 281, 2]"
"8,2","[1, 28, 322, 1960, 6769, 13132, 13068, 5040]"
"8,3","[1, 56, 1218, 7668, 8954, 2136, 127]"
"8,4","[1, 70, 1941, 9992, 15955, 9977, 2263, 121]"
"8,5","[1, 56, 1087, 6224, 10277, 2388, 127]"
"9,2","[1, 36, 546, 4536, 22449, 67284, 118124, 109584, 40320]"
"9,3","[1, 84, 2814, 32434, 93192, 45349, 7318, 247, 1]"
"9,4","[1, 126, 6141, 51528, 123643, 122241, 51407, 7545, 248]"
"9,5","[1, 126, 4877, 39553, 84808, 44509, 7318, 247, 1]"
