2,"[1, 1]"
3,"[1, 2, 2, 1]"
4,"[1, 3, 5, 7, 8]"
5,"[1, 3, 5, 8, 13, 20, 26, 33, 11]"
6,"[1, 3, 5, 8, 13, 21, 32, 47, 64, 90, 124, 122, 104, 52, 22, 10, 2]"
7,"[1, 3, 5, 8, 13, 21, 33, 50, 74, 106, 153, 219, 301, 403, 526, 612, 643, 648, 568, 389, 193, 61, 10]"
8,"[1, 3, 5, 8, 13, 21, 33, 51, 77, 114, 171, 250, 364, 519, 724, 1015, 1393, 1888, 2476, 3164, 3761, 4242, 4486, 4469, 3832, 3019, 2143, 1259, 584, 223, 12]"
9,"[1, 3, 5, 8, 13, 21, 33, 51, 78, 117, 176, 264, 388, 564, 810, 1161, 1664, 2351, 3277, 4503, 6120, 8213, 10805, 13985, 17691, 21873, 25983, 29628, 32734, 34224, 33248, 30263, 25674, 20827, 15452, 10871, 6438, 2612, 658, 85, 8]"
10,"[1, 3, 5, 8, 13, 21, 33, 51, 78, 118, 179, 269, 400, 590, 857, 1249, 1818, 2620, 3747, 5309, 7500, 10528, 14641, 20031, 27085, 36120, 47671, 61740, 78961, 99498, 123487, 150609, 180223, 210176, 238556, 263604, 279352, 282394, 275840, 261268, 236528, 204901, 169751, 132167, 92078, 57920, 32235, 13520, 2897, 150]"
11,"[1, 3, 5, 8, 13, 21, 33, 51, 78, 118, 180, 272, 405, 599, 879, 1289, 1888, 2746, 3968, 5700, 8169, 11679, 16581, 23384, 32756, 45552, 62789, 85632, 115407, 153293, 201304, 262023, 337047, 427781, 536869, 666661, 817922, 991852, 1190281, 1409960, 1642381, 1881544, 2115512, 2324272, 2492006, 2598690, 2634931, 2605882, 2518678, 2373853, 2166559, 1902771, 1591937, 1266483, 956837, 669050, 415602, 219298, 93056, 27705, 4322, 228, 4]"
12,"[1, 3, 5, 8, 13, 21, 33, 51, 78, 118, 180, 273, 408, 604, 888, 1309, 1930, 2818, 4096, 5929, 8564, 12358, 17730, 25327, 36038, 51162, 72345, 101566, 141268, 195021, 266907, 361965, 485380, 645016, 848487, 1104755, 1424024, 1821103, 2305066, 2889686, 3590441, 4420154, 5396649, 6527429, 7829555, 9313164, 10981743, 12832375, 14839719, 16965232, 19150585, 21285429, 23237620, 24894031, 26210525, 27163096, 27649899, 27553473, 26929913, 25801685, 24087105, 21848494, 19291051, 16442744, 13391074, 10378698, 7593061, 5134378, 3073649, 1567002, 619050, 153059, 16425, 553, 6]"
13,"[1, 3, 5, 8, 13, 21, 33, 51, 78, 118, 180, 273, 409, 607, 893, 1318, 1947, 2856, 4161, 6039, 8765, 12705, 18332, 26342, 37760, 54037, 77166, 109788, 155566, 219445, 307879, 429281, 594206, 815100, 1107691, 1493639, 1998371, 2650196, 3482470, 4538797, 5868493, 7524309, 9570942, 12080870, 15132063, 18809063, 23207538, 28433360, 34590804, 41789189, 50138907, 59753281, 70742508, 83211213, 97248671, 112919996, 130251762, 149123082, 169337001, 190572429, 212246502, 233715964, 254132206, 272567758, 288487600, 301573694, 311205487, 316940008, 318189430, 314140781, 304420788, 289425864, 270119145, 246882122, 219581469, 189363336, 158470130, 127822710, 98176599, 71112899, 47990781, 29224723, 15030828, 5962008, 1569237, 199505, 7155, 40]"
